id,source_image,source_category,crop_left,crop_top,crop_right,crop_bottom,image_label,object_count
X光图片20260907_000001,X光图片20260907/未标注/多余物/多余物 (1).jpg,多余物,0,0,1024,1060,无,0
X光图片20260907_000002,X光图片20260907/未标注/多余物/多余物 (1).jpg,多余物,1024,0,2048,1060,缺陷,1
X光图片20260907_000003,X光图片20260907/未标注/多余物/多余物 (1).jpg,多余物,2048,0,2413,1060,无,0
X光图片20260907_000004,X光图片20260907/未标注/多余物/多余物 (1).jpg,多余物,0,1060,1024,1803,无,0
X光图片20260907_000005,X光图片20260907/未标注/多余物/多余物 (1).jpg,多余物,1024,1060,2048,1803,无,0
X光图片20260907_000006,X光图片20260907/未标注/多余物/多余物 (1).jpg,多余物,2048,1060,2413,1803,无,0
X光图片20260907_000007,X光图片20260907/未标注/多余物/多余物 (2).jpg,多余物,0,0,1024,1093,无,0
X光图片20260907_000008,X光图片20260907/未标注/多余物/多余物 (2).jpg,多余物,1024,0,2083,1093,缺陷,1
X光图片20260907_000009,X光图片20260907/未标注/多余物/多余物 (2).jpg,多余物,2083,0,2405,1093,无,0
X光图片20260907_000010,X光图片20260907/未标注/多余物/多余物 (2).jpg,多余物,0,1093,1024,1806,无,0
X光图片20260907_000011,X光图片20260907/未标注/多余物/多余物 (2).jpg,多余物,1024,1093,2083,1806,缺陷,3
X光图片20260907_000012,X光图片20260907/未标注/多余物/多余物 (2).jpg,多余物,2083,1093,2405,1806,无,0
X光图片20260907_000013,X光图片20260907/未标注/多余物/多余物 (3).jpg,多余物,0,0,1024,1024,无,0
X光图片20260907_000014,X光图片20260907/未标注/多余物/多余物 (3).jpg,多余物,1024,0,2048,1024,无,0
X光图片20260907_000015,X光图片20260907/未标注/多余物/多余物 (3).jpg,多余物,2048,0,2403,1024,无,0
X光图片20260907_000016,X光图片20260907/未标注/多余物/多余物 (3).jpg,多余物,0,1024,1024,1801,无,0
X光图片20260907_000017,X光图片20260907/未标注/多余物/多余物 (3).jpg,多余物,1024,1024,2048,1801,缺陷,1
X光图片20260907_000018,X光图片20260907/未标注/多余物/多余物 (3).jpg,多余物,2048,1024,2403,1801,无,0
X光图片20260907_000019,X光图片20260907/未标注/多余物/多余物 (4).jpg,多余物,0,0,1024,1024,无,0
X光图片20260907_000020,X光图片20260907/未标注/多余物/多余物 (4).jpg,多余物,1024,0,2048,1024,无,0
X光图片20260907_000021,X光图片20260907/未标注/多余物/多余物 (4).jpg,多余物,2048,0,2413,1024,无,0
X光图片20260907_000022,X光图片20260907/未标注/多余物/多余物 (4).jpg,多余物,0,1024,1024,1806,无,0
X光图片20260907_000023,X光图片20260907/未标注/多余物/多余物 (4).jpg,多余物,1024,1024,2048,1806,缺陷,1
X光图片20260907_000024,X光图片20260907/未标注/多余物/多余物 (4).jpg,多余物,2048,1024,2413,1806,无,0
X光图片20260907_000025,X光图片20260907/未标注/多余物/多余物 (5).jpg,多余物,0,0,1024,1024,无,0
X光图片20260907_000026,X光图片20260907/未标注/多余物/多余物 (5).jpg,多余物,1024,0,2048,1024,缺陷,1
X光图片20260907_000027,X光图片20260907/未标注/多余物/多余物 (5).jpg,多余物,2048,0,2403,1024,无,0
X光图片20260907_000028,X光图片20260907/未标注/多余物/多余物 (5).jpg,多余物,0,1024,1024,1810,无,0
X光图片20260907_000029,X光图片20260907/未标注/多余物/多余物 (5).jpg,多余物,1024,1024,2048,1810,无,0
X光图片20260907_000030,X光图片20260907/未标注/多余物/多余物 (5).jpg,多余物,2048,1024,2403,1810,无,0
X光图片20260907_000031,X光图片20260907/未标注/多余物/多余物 (6).jpg,多余物,0,0,1024,1024,无,0
X光图片20260907_000032,X光图片20260907/未标注/多余物/多余物 (6).jpg,多余物,1024,0,2048,1024,无,0
X光图片20260907_000033,X光图片20260907/未标注/多余物/多余物 (6).jpg,多余物,2048,0,2408,1024,无,0
X光图片20260907_000034,X光图片20260907/未标注/多余物/多余物 (6).jpg,多余物,0,1024,1024,1810,无,0
X光图片20260907_000035,X光图片20260907/未标注/多余物/多余物 (6).jpg,多余物,1024,1024,2048,1810,缺陷,1
X光图片20260907_000036,X光图片20260907/未标注/多余物/多余物 (6).jpg,多余物,2048,1024,2408,1810,无,0
X光图片20260907_000037,X光图片20260907/未标注/多余物/多余物 (7).jpg,多余物,0,0,1009,1024,缺陷,1
X光图片20260907_000038,X光图片20260907/未标注/多余物/多余物 (7).jpg,多余物,1009,0,2033,1024,缺陷,1
X光图片20260907_000039,X光图片20260907/未标注/多余物/多余物 (7).jpg,多余物,2033,0,2403,1024,无,0
X光图片20260907_000040,X光图片20260907/未标注/多余物/多余物 (7).jpg,多余物,0,1024,1009,1808,无,0
X光图片20260907_000041,X光图片20260907/未标注/多余物/多余物 (7).jpg,多余物,1009,1024,2033,1808,无,0
X光图片20260907_000042,X光图片20260907/未标注/多余物/多余物 (7).jpg,多余物,2033,1024,2403,1808,无,0
X光图片20260907_000043,X光图片20260907/未标注/多余物/多余物 (8).jpg,多余物,0,0,1024,1024,无,0
X光图片20260907_000044,X光图片20260907/未标注/多余物/多余物 (8).jpg,多余物,1024,0,2048,1024,无,0
X光图片20260907_000045,X光图片20260907/未标注/多余物/多余物 (8).jpg,多余物,2048,0,2403,1024,无,0
X光图片20260907_000046,X光图片20260907/未标注/多余物/多余物 (8).jpg,多余物,0,1024,1024,1803,缺陷,1
X光图片20260907_000047,X光图片20260907/未标注/多余物/多余物 (8).jpg,多余物,1024,1024,2048,1803,无,0
X光图片20260907_000048,X光图片20260907/未标注/多余物/多余物 (8).jpg,多余物,2048,1024,2403,1803,无,0
X光图片20260907_000049,X光图片20260907/未标注/多余物/多余物 (9).jpg,多余物,0,0,1108,1024,缺陷,2
X光图片20260907_000050,X光图片20260907/未标注/多余物/多余物 (9).jpg,多余物,1108,0,2132,1024,无,0
X光图片20260907_000051,X光图片20260907/未标注/多余物/多余物 (9).jpg,多余物,2132,0,2398,1024,无,0
X光图片20260907_000052,X光图片20260907/未标注/多余物/多余物 (9).jpg,多余物,0,1024,1108,1801,缺陷,1
X光图片20260907_000053,X光图片20260907/未标注/多余物/多余物 (9).jpg,多余物,1108,1024,2132,1801,无,0
X光图片20260907_000054,X光图片20260907/未标注/多余物/多余物 (9).jpg,多余物,2132,1024,2398,1801,无,0
X光图片20260907_000055,X光图片20260907/未标注/多余物/多余物 (10).jpg,多余物,0,0,1024,1024,无,0
X光图片20260907_000056,X光图片20260907/未标注/多余物/多余物 (10).jpg,多余物,1024,0,2048,1024,缺陷,1
X光图片20260907_000057,X光图片20260907/未标注/多余物/多余物 (10).jpg,多余物,2048,0,2401,1024,无,0
X光图片20260907_000058,X光图片20260907/未标注/多余物/多余物 (10).jpg,多余物,0,1024,1024,1806,无,0
X光图片20260907_000059,X光图片20260907/未标注/多余物/多余物 (10).jpg,多余物,1024,1024,2048,1806,无,0
X光图片20260907_000060,X光图片20260907/未标注/多余物/多余物 (10).jpg,多余物,2048,1024,2401,1806,无,0
