"label","file_name","copied_path","source_set","source_class","source_path","sha256","annotation_status"
"void","void_0001.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0001.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (1).jpg","39367BBD4E1461F70135ED9012BA2292091312731130A3C0F6C8CF1CAF74B45A","pending"
"void","void_0002.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0002.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (10).jpg","EF861DA3304B9F4B884C46BC1CF1C736662A8634274961114644F22F5F7F7120","pending"
"void","void_0003.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0003.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (11).jpg","5D0D7F7A58508E3BD9E1F6A85A895EDF4693A9FCB290012FB0F2DA779080C959","pending"
"void","void_0004.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0004.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (12).jpg","789B8B5739084672CABF2C2C6433EF07C159964D8D71F8B2433AC90253E0D171","pending"
"void","void_0005.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0005.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (13).jpg","AE842C46809622B42507BE4CF77CBA228722EA3B7EDE36CA2884DCE9E6F6E0E3","pending"
"void","void_0006.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0006.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (14).jpg","3956B5738B40EAD211FD1C92BDAC55708411491C5638FF5E0268BD2114FE8648","pending"
"void","void_0007.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0007.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (15).jpg","0C3AD854C53B26CEFE4082E4C70EA1253E726C118E7EBE6CB39213DD254CD905","pending"
"void","void_0008.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0008.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (16).jpg","5AEFFC7D63064765427A052CD6A21AE5F3D7E08F1C77076870B1CF60C4BD41C7","pending"
"void","void_0009.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0009.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (17).jpg","266BA62C4C7295B7EE403A01337FD7E7B0AE14B9298029A305DF7C2087B187A6","pending"
"void","void_0010.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0010.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (18).jpg","EA84E96F287C5C3518E98A84C377B50B76DA4AA71BFBC487B09BECBED6B91C69","pending"
"void","void_0011.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0011.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (19).jpg","57F4251945E4A39A5FD61DE54A122F62966492BD2F55607252362B8AC753266B","pending"
"void","void_0012.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0012.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (2).jpg","4C8D73DC1F208F507ED3AAD333E212EB566D67C545673560AEC2CEEF6A70DF82","pending"
"void","void_0013.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0013.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (20).jpg","0A696E135AA147DF1B53AE8DFBF3FBEC2FF2750255F1715450A10BDF7593568E","pending"
"void","void_0015.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0015.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (22).jpg","F32CEFCD5C963E1D80C06BBF28CABC8E1600569F9EEF4A2BFF7AABC1D6D0D9D0","pending"
"void","void_0016.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0016.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (23).jpg","092C3241C257EC2F29A378ED4A574DC7A5847F7ABA552160E130030057E61DAF","pending"
"void","void_0017.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0017.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (24).jpg","9D1C47D0C028B38DC8BE5E7FFF9FC2DB9ABFB7EA32B05D5F6E5E14FC6CDC869F","pending"
"void","void_0018.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0018.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (25).jpg","7AD51C9A8BD99B099DFDB141D1EB7585672DC2019F81BFD4D1755249DFD2F35D","pending"
"void","void_0019.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0019.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (26).jpg","6D13E94DE5C0733CB2EB627C53021933C198E1FDB47DB3FE62585115D749473B","pending"
"void","void_0020.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0020.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (27).jpg","2855660539274BE42455BE58C846113BAE20A4219091C50813BACE5899A8F368","pending"
"void","void_0021.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0021.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (28).jpg","C0E6BF316469F10767AFCACDA580C9598E91F64654F9486B1B3A9C0613AD9406","pending"
"void","void_0022.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0022.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (29).jpg","52B7855BF5A973C4896F6BC16E8FC915E4BACDF15A2451E1DB2CCB2BE00A6EA7","pending"
"void","void_0023.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0023.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (3).jpg","5CB86219CABFDA84B5928B46ADBC26906DF84013B30172F5E0A154B41DA4237D","pending"
"void","void_0024.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0024.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (30).jpg","F786D45573490506BD1071919494BE0A1A2372487809A915025F4D3FB1BA29C4","pending"
"void","void_0025.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0025.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (31).jpg","242D1BAA0E5822EC25BF3A9E516B40D3A6C6209ED0F9F72ED26AD9D50A71C8ED","pending"
"void","void_0026.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0026.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (32).jpg","0E8B6BFCB9DC78ACADC1FEE6BBB5971EAF741BCD88E10E7990194DA6CB129139","pending"
"void","void_0027.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0027.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (33).jpg","9C085C3FF4731FA41FA7095F46DE8F3D47FF06D1F016E82F2E163DEA325FD29A","pending"
"void","void_0028.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0028.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (34).jpg","19BF8A5F30A8078530ED054D64EF346AC92A88E7D445D515AF29F8E42FF261D4","pending"
"void","void_0029.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0029.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (35).jpg","2DF8BE87E170ED76FE77A43D0F88038F821EE9BC41AF236D5C7949B7B3902AD6","pending"
"void","void_0030.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0030.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (36).jpg","89A1818B97C6CC3B7217F607F271E0D45409010828EA3776FBB47120C73820A0","pending"
"void","void_0031.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0031.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (37).jpg","9631D2F4D7BDF561738EBF5969C5F55AAA5C15D858EDA37805DFBE0EA2E97A06","pending"
"void","void_0032.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0032.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (4).jpg","267C38F5C134B5264F8D046E8D90613743F49CECBB5C2245BF60B56349B89AED","pending"
"void","void_0033.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0033.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (5).jpg","A614A1A624C75C49220E82B2AD14BEA2C9F9651393CE3C2A2426EA33D0127447","pending"
"void","void_0034.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0034.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (6).jpg","573CC929E39F75C85BB0FF4EEC1C68D34F572C8115172AE7731A20A3B701203B","pending"
"void","void_0035.jpg","D:\Xray\pcb_xray_annotation_workspace\images\void\void_0035.jpg","缺陷照片20260603","焊点空洞","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (7).jpg","005A9AD47B4CCFD127261A15409059FFF245777239F122F372CD3AC6DDFABA0C","pending"
