"label","file_name","source_path","reference_path","copied_reference_path","status"
"void","void_0001.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (1).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (1).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0001.jpg","found"
"void","void_0002.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (10).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (10).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0002.jpg","found"
"void","void_0003.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (11).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (11).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0003.jpg","found"
"void","void_0004.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (12).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (12).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0004.jpg","found"
"void","void_0005.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (13).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (13).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0005.jpg","found"
"void","void_0006.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (14).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (14).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0006.jpg","found"
"void","void_0007.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (15).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (15).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0007.jpg","found"
"void","void_0008.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (16).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (16).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0008.jpg","found"
"void","void_0009.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (17).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (17).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0009.jpg","found"
"void","void_0010.jpg","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (18).jpg","D:\科研\Xray存档\X光图片20260330\标注缺陷照片20260603\焊点空洞\焊点空洞 (18).jpg","D:\Xray\pcb_xray_annotation_workspace\references\red_marked\void\void_0010.jpg","found"
