"sha256","kept_path","duplicate_path","label","source"
"ABEDB5FD2597F77F382841437B578E53A028AB2DC8975447189AC4913C4ED4DF","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (8).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\焊点空洞\1.jpg","void","X光图片20260330-缺陷"
"EF861DA3304B9F4B884C46BC1CF1C736662A8634274961114644F22F5F7F7120","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (10).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\焊点空洞\2.jpg","void","X光图片20260330-缺陷"
"789B8B5739084672CABF2C2C6433EF07C159964D8D71F8B2433AC90253E0D171","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (12).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\焊点空洞\3.jpg","void","X光图片20260330-缺陷"
"3956B5738B40EAD211FD1C92BDAC55708411491C5638FF5E0268BD2114FE8648","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (14).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\焊点空洞\4.jpg","void","X光图片20260330-缺陷"
"5AEFFC7D63064765427A052CD6A21AE5F3D7E08F1C77076870B1CF60C4BD41C7","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\焊点空洞\焊点空洞 (16).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\焊点空洞\5.jpg","void","X光图片20260330-缺陷"
"EE9FD7C5DDF2C3A60CD4FE943672A1C93376A9C7BC709EFAD5675D473EBDAA78","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (44).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\1.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"05ABE311037FCAC9969FB98E4550FE5CB548CB17F352DE520183F379A618E8D8","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (3).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\2.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"F630E745F7BB8F514B834EE11D8AD9966B2AD1A00EECC8FBC99542E27D0A7E5A","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (6).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\3.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"C26620119D073A0D325F23AF0FA4E6AE0F93F99D8FEF8B65E5ED06336D2193CC","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (8).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\4.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"B2214EBF5FC3D12D117D531F31908597842057E9CA6C69125C708E9935042069","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (10).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\5.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"1CD4B7D8FFCA64693FA73826593281E7BA0DE0F4DBD71CB8182FEB017D8307B5","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (12).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\6.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"1C65559EA24A8D9D03FB24010D1D26918C8BA36F23C25997F27A15E474A4677A","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (14).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\7.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"85B46096F5AA07FD4317113F8051FDCDEE9F8D93E8F29F8CB6F90C0D5DF5C7C7","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\过锡不良\过锡不良 (16).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\透锡不足\8.jpg","insufficient_through_solder","X光图片20260330-缺陷"
"CB75834BE6537AD7762134D73C1D8F57DE6F49C543C7B83F60DB2DFCB486AD01","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\桥连\桥连 (18).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\桥连\1.jpg","bridge","X光图片20260330-缺陷"
"015BD9B010C536BCCD6C587412EC458116BAC83CC7607D745FFBAB40C610C9FB","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\桥连\桥连 (21).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\桥连\2.jpg","bridge","X光图片20260330-缺陷"
"BF2AD96F8A8E226DEE773EC56E54D371389915F1B814A27A42D203E133BDFD15","D:\科研\Xray存档\X光图片20260330\缺陷照片20260603\桥连\桥连 (19).jpg","D:\科研\Xray存档\X光图片20260330\X光图片20260330\缺陷\桥连\3.jpg","bridge","X光图片20260330-缺陷"
