split,label,image_path,label_path
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0063.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0063.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0010.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0010.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0002.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0002.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0069.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0069.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0107.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0107.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0017.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0017.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0066.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0066.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0071.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0071.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0090.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0090.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0028.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0028.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0089.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0089.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0112.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0112.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0032.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0032.json
train,void,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0034.jpg,D:/Xray/pcb_xray_annotation_workspace/images/void/void_0034.json
