id,source_image,source_category,crop_left,crop_top,crop_right,crop_bottom,image_label,object_count
X光图片20260603_000001,X光图片20260603/未标注/多余物/多余物 (1).jpg,多余物,0,0,1024,1024,无,0
X光图片20260603_000002,X光图片20260603/未标注/多余物/多余物 (1).jpg,多余物,1024,0,2048,1024,缺陷,2
X光图片20260603_000003,X光图片20260603/未标注/多余物/多余物 (1).jpg,多余物,2048,0,2405,1024,无,0
X光图片20260603_000004,X光图片20260603/未标注/多余物/多余物 (1).jpg,多余物,0,1024,1024,1807,无,0
X光图片20260603_000005,X光图片20260603/未标注/多余物/多余物 (1).jpg,多余物,1024,1024,2048,1807,无,0
X光图片20260603_000006,X光图片20260603/未标注/多余物/多余物 (1).jpg,多余物,2048,1024,2405,1807,无,0
X光图片20260603_000007,X光图片20260603/未标注/多余物/多余物 (2).jpg,多余物,0,0,1024,1024,无,0
X光图片20260603_000008,X光图片20260603/未标注/多余物/多余物 (2).jpg,多余物,1024,0,2048,1024,缺陷,1
X光图片20260603_000009,X光图片20260603/未标注/多余物/多余物 (2).jpg,多余物,2048,0,3200,1024,无,0
X光图片20260603_000010,X光图片20260603/未标注/多余物/多余物 (2).jpg,多余物,0,1024,1024,2121,无,0
X光图片20260603_000011,X光图片20260603/未标注/多余物/多余物 (2).jpg,多余物,1024,1024,2048,2121,无,0
X光图片20260603_000012,X光图片20260603/未标注/多余物/多余物 (2).jpg,多余物,2048,1024,3200,2121,无,0
X光图片20260603_000013,X光图片20260603/未标注/多余物/多余物 (3).jpg,多余物,0,0,1024,1024,无,0
X光图片20260603_000014,X光图片20260603/未标注/多余物/多余物 (3).jpg,多余物,1024,0,2048,1024,缺陷,1
X光图片20260603_000015,X光图片20260603/未标注/多余物/多余物 (3).jpg,多余物,2048,0,3200,1024,无,0
X光图片20260603_000016,X光图片20260603/未标注/多余物/多余物 (3).jpg,多余物,0,1024,1024,2121,无,0
X光图片20260603_000017,X光图片20260603/未标注/多余物/多余物 (3).jpg,多余物,1024,1024,2048,2121,无,0
X光图片20260603_000018,X光图片20260603/未标注/多余物/多余物 (3).jpg,多余物,2048,1024,3200,2121,无,0
X光图片20260603_000019,X光图片20260603/未标注/多余物/多余物 (4).jpg,多余物,0,0,1024,1024,无,0
X光图片20260603_000020,X光图片20260603/未标注/多余物/多余物 (4).jpg,多余物,1024,0,2048,1024,无,0
X光图片20260603_000021,X光图片20260603/未标注/多余物/多余物 (4).jpg,多余物,2048,0,3200,1024,无,0
X光图片20260603_000022,X光图片20260603/未标注/多余物/多余物 (4).jpg,多余物,0,1024,1024,2121,无,0
X光图片20260603_000023,X光图片20260603/未标注/多余物/多余物 (4).jpg,多余物,1024,1024,2048,2121,缺陷,1
X光图片20260603_000024,X光图片20260603/未标注/多余物/多余物 (4).jpg,多余物,2048,1024,3200,2121,无,0
X光图片20260603_000025,X光图片20260603/未标注/多余物/多余物 (5).jpg,多余物,0,0,1059,1024,无,0
X光图片20260603_000026,X光图片20260603/未标注/多余物/多余物 (5).jpg,多余物,1059,0,2083,1024,无,0
X光图片20260603_000027,X光图片20260603/未标注/多余物/多余物 (5).jpg,多余物,2083,0,3200,1024,无,0
X光图片20260603_000028,X光图片20260603/未标注/多余物/多余物 (5).jpg,多余物,0,1024,1059,2121,缺陷,1
